"","Accumbens.Asymmetry","Accumbens.Left.cm3","Accumbens.Right.cm3","Accumbens.Total.cm3","Amygdala.Asymmetry","Amygdala.Left.cm3","Amygdala.Right.cm3","Amygdala.Total.cm3","Brainstem.cm3","Caudate.Asymmetry","Caudate.Left.cm3","Caudate.Right.cm3","Caudate.Total.cm3","Cerebelum.Assymetry","Cerebelum.L.GM.cm3","Cerebelum.L.WM.cm3","Cerebelum.Left.cm3","Cerebelum.R.GM.cm3","Cerebelum.R.WM.cm3","Cerebelum.Right.cm3","Cerebelum.T.GM.cm3","Cerebelum.T.WM.cm3","Cerebelum.Total.cm3","Cerebrum.Assymetry","Cerebrum.L.GM.cm3","Cerebrum.L.WM.cm3","Cerebrum.Left.cm3","Cerebrum.R.GM.cm3","Cerebrum.R.WM.cm3","Cerebrum.Right.cm3","Cerebrum.T.GM.cm3","Cerebrum.T.WM.cm3","Cerebrum.Total.cm3","Globus.Pallidus.Asymmetry","Globus.Pallidus.Left.cm3","Globus.Pallidus.Right.cm3","Globus.Pallidus.Total.cm3","Hippocampus.Asymmetry","Hippocampus.Asymmetry.1","Hippocampus.Left.cm3","Hippocampus.Right.cm3","Hippocampus.Total.cm3","Lateral.ventricles.Asymmetry","Lateral.ventricles.Left.cm3","Lateral.ventricles.Right.cm3","Lateral.ventricles.Total.cm3","Putamen.Asymmetry","Putamen.Left.cm3","Putamen.Right.cm3","Putamen.Total.cm3","QC","SNR","Scale.factor","Thalamus.Asymmetry","Thalamus.Left.cm3","Thalamus.Right.cm3","Thalamus.Total.cm3","Tissue.Brain.cm3","Tissue.CSF.cm3","Tissue.GM.cm3","Tissue.IC.cm3","Tissue.WM.cm3","mSNR"
"icc_session",0.673780206642578,0.844043957679029,0.881452686725829,0.889125291926613,0.219651779955136,0.757363561619637,0.78174698234005,0.874650918488278,0.924465126471794,0.738142605380173,0.973933128358767,0.970603993066576,0.970844334236367,0.847076251017381,0.941600565931838,0.756100577530724,0.945970438509882,0.949024376586166,0.769918417968291,0.971115344592263,0.947474250868381,0.777472822026591,0.962012517528608,0.799025349364766,0.941123953860668,0.9416510802294,0.949187323455805,0.939356672964528,0.945880757479026,0.953643472152209,0.941128489075281,0.946457367786573,0.952000749130608,0.259926277696339,0.768680086715789,0.827472891991915,0.845848909206947,0.756866521962997,0.756820388785941,0.921444393723637,0.919823741366706,0.933015791872341,0.991704604156026,0.988322893292931,0.974587995620734,0.987000539613208,0.475988286274086,0.960595966084678,0.938550447620755,0.922362361145372,0.543382525922321,0.610345990644631,0.943572959524834,0.795919753899761,0.954362301595415,0.933907114965439,0.966434805017838,0.951193997734035,0.915502672025705,0.94372885976911,0.956162134406373,0.937048864646325,0.596051957718193
"icc_scanner",0.457414175789691,0.629924807247303,0.766245805770243,0.734827332886381,0.205889170235517,0.551567896518131,0.590564725903779,0.628464544500796,0.919396093044373,0.628492843673099,0.953999619346292,0.960064727266373,0.965586185716838,0.69111921551991,0.797099638863833,0.238342608290075,0.893513989538051,0.825377532594351,0.269809036870726,0.895263472768523,0.813055668280227,0.255977473634959,0.898143589976723,0.70816181746108,0.907003721905584,0.930513670663424,0.933998689801386,0.905355984425606,0.937811395963703,0.935153246619357,0.90793252915984,0.937313409697449,0.935139699759618,0.189224553152409,0.480410650208865,0.555662635855674,0.531626592553794,0.544353908272563,0.544303206147551,0.6305319605852,0.661697187695907,0.642587697920952,0.972276880201619,0.974695506760239,0.93602137275083,0.967384426993093,0.30611319086542,0.907623772863328,0.873236345855814,0.887776037109864,0.262535589003858,0.0102012717084574,0.724853056674223,0.689509169650147,0.930082542231456,0.906788591239797,0.936411375573554,0.930621714338665,0.835073499619053,0.923869114635027,0.952345712633746,0.903379177864859,0.00831657949397729
"icc",0.457414175389333,0.628968219199097,0.766233896137485,0.734076259174393,0.197765349326899,0.551567896499822,0.583612368813928,0.627147968224088,0.919396093020438,0.628492843657003,0.953197277022076,0.960004049379612,0.952279832484717,0.691119214968329,0.797099638863833,0.237982599176602,0.867216663327355,0.825377532355916,0.268679899586009,0.891683632112497,0.813055668219847,0.255444803600468,0.883802352890491,0.70421991374933,0.906867315474658,0.930351044669588,0.933998689801386,0.904706341618884,0.937103511345629,0.935153246619357,0.907550619423249,0.936853658878521,0.935139699759618,0.187618469804329,0.480410650208865,0.543825270179679,0.528785068536597,0.544353908260287,0.544303161446533,0.6305319605852,0.661467990522292,0.642583306044128,0.972276880190538,0.974695506608163,0.93602137275083,0.967384426988954,0.295881998964854,0.907390411517495,0.857366512308827,0.840194677905134,0.258798335297804,0.0102012717084574,0.724709365572136,0.689508877543559,0.921742009097738,0.906746631943524,0.936411375563276,0.930621714338665,0.833400365628944,0.923584875933007,0.952345712633746,0.902791940609865,0.00831657949397729
"group_mean",-13.7212532872021,0.353028083629581,0.305347312759101,0.659979750597761,2.11384793810102,0.835047595910322,0.852625255407513,1.6886591096343,23.1032398110809,0.222928796035439,3.77080383533744,3.77743474455253,7.56199754058367,-0.768363057118724,49.8594628725937,16.5401513917612,66.3863031866386,48.9650058117837,16.9278572975168,65.8959393052451,98.8426755122872,33.4676476608992,132.283793915227,0.683598436555824,300.00467635791,229.570845767822,529.645295849758,301.356034305578,231.913712264334,533.347255679392,601.368170876352,461.484709312991,1062.99256707165,-1.1117625105387,1.22839008020428,1.21364120713129,2.44246593202791,6.19020853894344,7.19020057376984,3.65257767349279,3.86659946329381,7.51555662290755,-15.9045190819167,5.35162010426154,3.75299060652121,9.58494224515113,0.245840749736134,4.53796264542773,4.55189768546622,9.07244147900095,0.944463014631335,24.4793083503,0.761469718468276,-1.89407729581534,6.16523012363373,6.06561562417458,12.2334353357172,1218.47534443793,175.377218612542,703.482712090244,1393.9696440051,514.790049371482,24.3845360490813
"vary",157.23291724315,0.0030448371981604,0.0033445318395218,0.0107975365035398,36.5389666894556,0.0107014247535319,0.011612940476555,0.040256990977319,5.05658932596422,9.12207125007753,0.216690006177807,0.222338154721878,0.875075042750729,5.45603462720339,25.7931924300707,7.03552728171468,41.3256070788028,28.8537577112193,7.92091571171766,42.6085445253722,103.598658889477,29.3210520144654,164.89906955283,0.522429306106378,970.421972753611,647.902775081922,2759.88068203504,997.817219755188,646.085973562569,2769.68310465445,3927.34216858355,2576.42770384368,11040.2050433526,42.0648121081276,0.0239239672591443,0.0266571177127135,0.0941352121744023,15.3380946025604,15.3380946025604,0.174543270648064,0.17265480420444,0.668375559070123,423.600656735184,5.3357332816296,2.09139564330566,14.2485207373857,3.40128744207164,0.288891396218504,0.286026337095014,1.15210787966639,3.5436523022527e-05,33.6654866077393,0.00543854055005325,11.2483274425802,0.273478689138881,0.268329649085292,1.01106555568535,13508.4558667376,1424.09693649523,4901.86816510413,18553.834650955,3056.26176386125,38.0416445331644
"var_subid",0.498350107820633,0.653321598956492,0.717853542773762,0.694069123632915,0.195882414129332,0.441482319541191,0.533243384827663,0.528681715106833,0.669718882702157,0.639552007548557,0.709226526106154,0.756115145406992,0.731633536464891,0.687321572563478,0.652705919291239,0.298475893779085,0.633258239705537,0.654385378028278,0.326219129765281,0.638283852340337,0.658320048678676,0.316562371507299,0.634805639702028,0.740842503968258,0.509633000481489,0.711986018243427,0.612437227497672,0.516501953006077,0.724890030921667,0.616363708616215,0.513227134740351,0.72028779469055,0.61419931462098,0.183881184213668,0.403502680181839,0.468747397819983,0.434942084022756,0.551993394298986,0.551895782653709,0.657729016607005,0.70297859141976,0.665021080213214,1.02195946601646,0.991185747149824,0.857119789701945,1.08785887294673,0.335746406871874,0.643460432813945,0.633029184490156,0.62256480280934,0.313265707009167,0.0188986474791029,0.503138137499671,0.670822442248418,0.788080196445672,0.615166273643924,0.683024057087884,0.591132737816772,0.772394089651796,0.513075097078333,0.614492198936498,0.67978618944065,0.0156223090769003
"var_scanner",0.126283964568116,0.128600448207345,0.000111619307235962,0.0501039932021298,0.00619396897468751,0.0873014712437804,0.133086922071545,0.117510811995719,0.00205809708601951,0.0411075766350722,0.00862835199616614,0.00120340148767905,0.00485032735952993,0,0.0565943584076715,0.778864059717002,0.0289535833321679,0.0540511240091614,0.725318011342361,0.0303791785827503,0.056956884143768,0.765556067782395,0.0304565129588246,0.0128070028437068,0.0148829540978143,0.00385692255080619,0.0104925752471464,0.0186068392312914,0.00379169966323219,0.0127789716688979,0.0167493325818146,0.00383750441517587,0.0116326896277007,0.00200111735659133,0.115188381944183,0.140224366174799,0.143877711275113,0.0451474972440195,0.0451518376586203,0.269433425586722,0.230725051840523,0.262032219484426,0.000743695428919551,0.0120924085068315,0.030024683341487,0.0194627947195109,0.144083759590251,0.0178338135324428,0.0458465730524651,0.0321306540511483,0.461876245140226,1.80683680617291,0.146721702419235,0.0395118740891741,0.00946186512944026,0.000776376207111402,0.0046153478644078,0.0137380542605828,0.025529364533713,0.00550262353908192,0.00257541106513915,0.0230894275950337,1.83988652118114
"var_session",0,0.00157737354654658,1.45614541658798e-05,0.00096640419315287,0,0,0.0052909528316138,0.00075819280093577,0,0,0,0,0,0,0,0,0,0,0,0,1.76675463613811e-11,0,5.08518737577802e-12,0.00239130657707127,8.45161235157242e-05,0,0,0.000409656255381039,0,0,0.000237873414581758,0,0,0.00831863921835471,0,0,0,2.28668247754004e-11,0,0,0.000368114744490798,7.07327324126979e-06,0,0,0,0,0,0,0,0,0,0,0,5.93508341368808e-09,0,3.13926233111819e-05,0,0,0,0.000170913703925723,0,0,0
"var_scanner_session",0,0,0,0,0,0,0,0,0,0,0,4.97788438380478e-05,0.000258109535524743,0,0,0.00189441822313342,0,9.87463618200832e-12,0.00302731837440405,3.91396533595551e-05,0,0.00257880637963872,2.15328629711393e-05,0.00235952991554074,0,0.000133749393462132,0,0,0.000583890664448649,0,0,0.000377113413124579,0,0,0,7.39091785220604e-05,0,0,0,0,0,0,1.19801210249301e-11,0,0,4.8111143230836e-12,0,0.00018232688792495,0.000236196831768963,0.000209937357393117,0,0,0.000137626812286614,0,0,0,0,0,0.000211536740486303,0,0,0.0004894723767119,0
"var_subid_scanner",0.223577224169683,0.136081712977337,0.12234966066176,0.114775879348953,0.092498828667854,0.130191963172718,0.0984899201383297,0.121033955230442,0.00193605423533353,0.110054534419895,0.00721309721855676,0.00734836250976717,0.00958294725530107,0.18310047645178,0.0690690576325467,0.0786767482412834,0.0318385034997985,0.0492456152785014,0.0621038919804309,0.0281315836993682,0.0579136644571253,0.0639561075260451,0.0279159373123341,0.109655217949897,0.00557262168252568,0.00519295887376497,0,0.0024523283497467,0.0028024591665736,4.27680227463742e-07,0.00342703450993931,0.00358677649565153,5.27303641040173e-11,0.270643363350371,0.199794364748952,0.155165917848573,0.164445464165477,0.239572487802826,0.239567874700488,0.0598979038673578,0.067776631506661,0.0601207737617636,0.0198475827819562,0.00192926364885687,0.00621182224206282,0.00288676760285968,0.285280052448316,0.0212613631473845,0.017783226866599,0.0336685535537758,0.172075904912661,0.0147769691404374,0.0141760883696404,0.0905603174466457,0.0197618622720834,0.0189542273889465,0.0180445034478042,0,0.0573744024881994,0.00635512541569849,5.60923496564470e-11,0.00394885472915213,0.0123574822292764
"var_subid_session",9.53595491484918e-10,0,0,0,0.0390815774141418,2.65692932907396e-11,0.00546541279345531,0.00100780238103552,1.89636248327367e-11,2.60619297220913e-11,0.000625768471791977,0,0.0103294781888181,7.93712834819272e-10,0,1.03109959361872e-11,0.0214913388868108,2.1915872501554e-10,0.00205386073818408,0.00282316524236024,4.246215289846e-11,0,0.0114474911926883,0.00110502901879089,0,0,0,0,0,0,0,0,0,7.99599625309165e-11,0,0.0182882333762397,0.0043963967906011,0,8.32708000491567e-08,0,1.88144915173691e-11,5.346061723613e-11,0,1.58664337296856e-10,0,0,0.0379259978105614,0,0.0131821120301478,0.0395035534532707,0.0172312099560458,0,6.78765142968152e-11,4.06227939538877e-07,0.0076671392750613,7.99274636549302e-11,8.00604856049426e-12,0,0.00164537505698968,0,0,0,0
"varw",0.241282939076632,0.119138437530688,0.0965301653380099,0.085584627662887,0.656822153642063,0.141437617321034,0.138117861605678,0.0740011091563195,0.0547204319971402,0.226882205661402,0.0183563528692501,0.0228999326353749,0.0116423890801128,0.124083033651883,0.0404817686805714,0.096280971433282,0.0146775133398929,0.0351494684571714,0.0954331089377308,0.0161618186010519,0.0364957186293432,0.090606036877878,0.0136194052006973,0.182843889440956,0.0317977624301088,0.0441178435712663,0.0327854934167922,0.0329348631929736,0.0414751004017078,0.0299613873079339,0.031866623708246,0.0407478517169016,0.0309675249869539,0.515236091945895,0.121426594239484,0.0794450382690957,0.0748692923343909,0.177320663416286,0.177333672327012,0.0560731629787483,0.0609068782865525,0.047736931473999,0.0085484712600654,0.011710931374482,0.0223490664232825,0.0143278324152016,0.331694547727278,0.0263950064470012,0.028264099122944,0.0128993451906996,0.246013537575885,0.0120651792171988,0.0300883950717961,0.172003873988747,0.030018932632734,0.0435041079365569,0.0237220716047179,0.0303311688363266,0.0696435886052399,0.0304218995154726,0.028173073850111,0.0456681759485283,0.010587334016473
"vary_sigma_ratio",1.08949423658866,1.03871957121841,0.936859549534934,0.945500028040038,0.990478942828078,0.800413371305293,0.913694454268285,0.842993586671285,0.728433466039614,1.01759632429099,0.744050096661919,0.787616620883651,0.768296787884177,0.994505083460854,0.818851104012028,1.2541920914041,0.730219178764207,0.792831586002146,1.21415532113839,0.715818738119228,0.809686315969042,1.23925939007326,0.718266519234629,1.05200447971422,0.561970854815453,0.765287492632727,0.655715296161611,0.57090564003547,0.773543180817629,0.659104495273274,0.565507998954933,0.768837040731403,0.656799529288365,0.980080396164841,0.839912021114459,0.861944862667212,0.822530948588337,1.01403404278498,1.01394925061063,1.04313350903983,1.0627552678168,1.0349180782601,1.05109921549938,1.01691835083866,0.915705361708777,1.12453626768911,1.13473076444828,0.709132942828698,0.73834139239408,0.740976846415628,1.21046260459399,1.85257760200965,0.694261950240506,0.972898919936008,0.854989995754991,0.678432377879778,0.72940598001282,0.635201960913681,0.926798357076425,0.555525659252511,0.64524068390784,0.752982120090076,1.87845364650379
